#-----------------------------------------------------------
# xsim v2022.1 (64-bit)
# SW Build 3526262 on Mon Apr 18 15:47:01 MDT 2022
# IP Build 3524634 on Mon Apr 18 20:55:01 MDT 2022
# Start of session at: Sat Nov 22 11:17:12 2025
# Process ID: 1432632
# Current directory: /home/m7malhot/e3mehta-pd6/build/output
# Command line: xsim -mode tcl -source {xsim.dir/tb/xsim_script.tcl}
# Log file: /home/m7malhot/e3mehta-pd6/build/output/xsim.log
# Journal file: /home/m7malhot/e3mehta-pd6/build/output/xsim.jou
# Running On: eceubuntu1, OS: Linux, CPU Frequency: 2300.030 MHz, CPU Physical cores: 6, Host memory: 67266 MB
#-----------------------------------------------------------
source xsim.dir/tb/xsim_script.tcl
# xsim {tb} -autoloadwcfg -tclbatch {/home/m7malhot/e3mehta-pd6/build/scripts/xsim.tcl}
Time resolution is 1 ps
source /home/m7malhot/e3mehta-pd6/build/scripts/xsim.tcl
## run 2000ns
Simulation started.
Final transfer at 01000590
[W] 01000664 0 00 00000000
[W] 01000668 0 00 00000000
[W] 0100066c 0 00 00000000
[W] 01000670 0 00 00000000
[W] 01000674 0 00 00000000
[W] 01000678 0 00 00000000
[W] 0100067c 0 00 00000000
[W] 01000680 0 00 00000000
[W] 01000684 0 00 00000000
[W] 01000688 0 00 00000000
[W] 0100068c 0 00 00000000
[W] 01000690 0 00 00000000
[W] 01000694 0 00 00000000
[W] 01000698 0 00 00000000
[W] 0100069c 0 00 00000000
[W] 010006a0 0 00 00000000
[W] 010006a4 0 00 00000000
[W] 010006a8 0 00 00000000
[W] 010006ac 0 00 00000000
[W] 010006b0 0 00 00000000
[W] 010006b4 0 00 00000000
[W] 010006b8 0 00 00000000
[W] 010006bc 0 00 00000000
[W] 010006c0 0 00 00000000
[W] 010006c4 0 00 00000000
[W] 010006c8 0 00 00000000
[W] 010006cc 0 00 00000000
[W] 010006d0 0 00 00000000
[W] 010006d4 0 00 00000000
[W] 010006d8 0 00 00000000
[W] 010006dc 0 00 00000000
[W] 010006e0 0 00 00000000
[W] 010006e4 0 00 00000000
[W] 010006e8 0 00 00000000
[W] 010006ec 0 00 00000000
[W] 010006f0 0 00 00000000
[W] 010006f4 0 00 00000000
[W] 010006f8 0 00 00000000
[W] 010006fc 0 00 00000000
[W] 01000700 0 00 00000000
[W] 01000704 0 00 00000000
[W] 01000708 0 00 00000000
[W] 0100070c 0 00 00000000
[W] 01000710 0 00 00000000
[W] 01000714 0 00 00000000
[W] 01000718 0 00 00000000
[W] 0100071c 0 00 00000000
[W] 01000720 0 00 00000000
[W] 01000724 0 00 00000000
[W] 01000728 0 00 00000000
[W] 0100072c 0 00 00000000
[W] 01000730 0 00 00000000
[W] 01000734 0 00 00000000
[W] 01000738 0 00 00000000
[W] 0100073c 0 00 00000000
[W] 01000740 0 00 00000000
[W] 01000744 0 00 00000000
[W] 01000748 0 00 00000000
[W] 0100074c 0 00 00000000
[W] 01000750 0 00 00000000
[W] 01000754 0 00 00000000
[W] 01000758 0 00 00000000
[W] 0100075c 0 00 00000000
[W] 01000760 0 00 00000000
[W] 01000764 0 00 00000000
[W] 01000768 0 00 00000000
[W] 0100076c 0 00 00000000
[W] 01000770 0 00 00000000
[W] 01000774 0 00 00000000
[W] 01000778 0 00 00000000
[W] 0100077c 0 00 00000000
[W] 01000780 0 00 00000000
[W] 01000784 0 00 00000000
[W] 01000788 0 00 00000000
[W] 0100078c 0 00 00000000
[W] 01000790 0 00 00000000
[W] 01000794 0 00 00000000
[W] 01000798 0 00 00000000
[W] 0100079c 0 00 00000000
[W] 010007a0 0 00 00000000
[W] 010007a4 0 00 00000000
[W] 010007a8 0 00 00000000
[W] 010007ac 0 00 00000000
[W] 010007b0 0 00 00000000
[W] 010007b4 0 00 00000000
[W] 010007b8 0 00 00000000
[W] 010007bc 0 00 00000000
[W] 010007c0 0 00 00000000
[W] 010007c4 0 00 00000000
[W] 010007c8 0 00 00000000
[W] 010007cc 0 00 00000000
[W] 010007d0 0 00 00000000
[W] 010007d4 0 00 00000000
[W] 010007d8 0 00 00000000
[W] 010007dc 0 00 00000000
[W] 010007e0 0 00 00000000
[W] 010007e4 0 00 00000000
[W] 010007e8 0 00 00000000
[W] 010007ec 0 00 00000000
[W] 010007f0 0 00 00000000
[W] 010007f4 0 00 00000000
[W] 010007f8 0 00 00000000
[W] 010007fc 0 00 00000000
[W] 01000800 0 00 00000000
[W] 01000804 0 00 00000000
[W] 01000808 0 00 00000000
[W] 0100080c 0 00 00000000
[W] 01000810 0 00 00000000
[W] 01000814 0 00 00000000
[W] 01000818 0 00 00000000
[W] 0100081c 0 00 00000000
[W] 01000820 0 00 00000000
[W] 01000824 0 00 00000000
[W] 01000828 0 00 00000000
[W] 0100082c 0 00 00000000
[W] 01000830 0 00 00000000
[W] 01000834 0 00 00000000
[W] 01000838 0 00 00000000
[W] 0100083c 0 00 00000000
[W] 01000840 0 00 00000000
[W] 01000844 0 00 00000000
[W] 01000848 0 00 00000000
[W] 0100084c 0 00 00000000
[W] 01000850 0 00 00000000
[W] 01000854 0 00 00000000
[W] 01000858 0 00 00000000
[W] 0100085c 0 00 00000000
[W] 01000860 0 00 00000000
[W] 01000864 0 00 00000000
[W] 01000868 0 00 00000000
[W] 0100086c 0 00 00000000
[W] 01000870 0 00 00000000
[W] 01000874 0 00 00000000
[W] 01000878 0 00 00000000
[W] 0100087c 0 00 00000000
[W] 01000880 0 00 00000000
[W] 01000884 0 00 00000000
[W] 01000888 0 00 00000000
[W] 0100088c 0 00 00000000
[W] 01000890 0 00 00000000
[W] 01000894 0 00 00000000
[W] 01000898 0 00 00000000
[W] 0100089c 0 00 00000000
[W] 010008a0 0 00 00000000
[W] 010008a4 0 00 00000000
[W] 010008a8 0 00 00000000
[W] 010008ac 0 00 00000000
[W] 010008b0 0 00 00000000
[W] 010008b4 0 00 00000000
[W] 010008b8 0 00 00000000
[W] 010008bc 0 00 00000000
[W] 010008c0 0 00 00000000
[W] 010008c4 0 00 00000000
[W] 010008c8 0 00 00000000
[W] 010008cc 0 00 00000000
[W] 010008d0 0 00 00000000
[W] 010008d4 0 00 00000000
[W] 010008d8 0 00 00000000
[W] 010008dc 0 00 00000000
[W] 010008e0 0 00 00000000
[W] 010008e4 0 00 00000000
[W] 010008e8 0 00 00000000
[W] 010008ec 0 00 00000000
[W] 010008f0 0 00 00000000
[W] 010008f4 0 00 00000000
[W] 010008f8 0 00 00000000
[W] 010008fc 0 00 00000000
[W] 01000900 0 00 00000000
[W] 01000904 0 00 00000000
[W] 01000908 0 00 00000000
[W] 0100090c 0 00 00000000
[W] 01000910 0 00 00000000
[W] 01000914 0 00 00000000
[W] 01000918 0 00 00000000
[W] 0100091c 0 00 00000000
[W] 01000920 0 00 00000000
[W] 01000924 0 00 00000000
[W] 01000928 0 00 00000000
[W] 0100092c 0 00 00000000
[W] 01000930 0 00 00000000
[W] 01000934 0 00 00000000
[W] 01000938 0 00 00000000
[W] 0100093c 0 00 00000000
[W] 01000940 0 00 00000000
[W] 01000944 0 00 00000000
[W] 01000948 0 00 00000000
[W] 0100094c 0 00 00000000
[W] 01000950 0 00 00000000
[W] 01000954 0 00 00000000
[W] 01000958 0 00 00000000
[W] 0100095c 0 00 00000000
[W] 01000960 0 00 00000000
[W] 01000964 0 00 00000000
[W] 01000968 0 00 00000000
[W] 0100096c 0 00 00000000
[W] 01000970 0 00 00000000
[W] 01000974 0 00 00000000
[W] 01000978 0 00 00000000
[W] 0100097c 0 00 00000000
[W] 01000980 0 00 00000000
[W] 01000984 0 00 00000000
[W] 01000988 0 00 00000000
[W] 0100098c 0 00 00000000
[W] 01000990 0 00 00000000
[W] 01000994 0 00 00000000
[W] 01000998 0 00 00000000
[W] 0100099c 0 00 00000000
[W] 010009a0 0 00 00000000
[W] 010009a4 0 00 00000000
[W] 010009a8 0 00 00000000
[W] 010009ac 0 00 00000000
[W] 010009b0 0 00 00000000
[W] 010009b4 0 00 00000000
[W] 010009b8 0 00 00000000
[W] 010009bc 0 00 00000000
